Datetime,hour,energy_consumption,hour_mean,z_score,residual,anomaly_type,is_peak_hour,is_weekend,wastage_mw,cost_usd
2002-06-24 14:00:00,14,50207.0,34916.601683724,2.380350738451998,9186.961066048454,Demand Surge,0,0,15290.398316275998,1834847.7979531197
2002-06-24 15:00:00,15,50783.0,34940.669692967975,2.3360210419168324,9296.40819576232,Demand Surge,0,0,15842.330307032025,1901079.636843843
2002-06-24 16:00:00,16,51148.0,35065.39220864972,2.30256800770937,9432.407308875641,Demand Surge,0,0,16082.607791350281,1929912.9349620338
2002-06-24 17:00:00,17,51137.0,35596.05150214592,2.236094902477993,9296.961911500672,Demand Surge,1,0,15540.948497854079,1864913.8197424894
2002-06-24 18:00:00,18,50591.0,36421.93149554308,2.1081095344896434,8999.468750929169,Demand Surge,1,0,14169.068504456918,1700288.2205348301
2002-06-24 19:00:00,19,49057.0,36426.62991086167,2.0208610184705287,8596.153656243761,Demand Surge,1,0,12630.370089138327,1515644.4106965992
2002-06-24 20:00:00,20,47310.0,36106.84021129085,1.9936788746263732,8006.575842262173,Demand Surge,1,0,11203.159788709148,1344379.174645098
2002-06-24 21:00:00,21,46166.0,35741.057279630244,1.9920274227539003,7371.18578483662,Demand Surge,1,0,10424.942720369756,1250993.1264443707
2002-06-24 22:00:00,22,45308.0,34453.149884450315,2.1369741527132415,7202.5765637890945,Demand Surge,0,0,10854.850115549685,1302582.0138659622
2002-06-24 23:00:00,23,41801.0,32047.501485638826,2.0860880247924083,6821.48293430754,Pattern Outlier,0,0,9753.498514361174,1170419.8217233408
2002-06-25 11:00:00,11,44779.0,34197.643116540115,2.1306563400791485,6473.269320859341,Pattern Outlier,0,0,10581.356883459885,1269762.826015186
2002-06-25 12:00:00,12,46887.0,34588.618355893035,2.2534783509943104,7186.598846139241,Demand Surge,0,0,12298.381644106965,1475805.7972928358
2002-06-25 13:00:00,13,48374.0,34759.57114559261,2.288308014417409,7659.234450953067,Demand Surge,0,0,13614.428854407393,1633731.4625288872
2002-06-25 14:00:00,14,49643.0,34916.601683724,2.2925493752227704,8140.160899369868,Demand Surge,0,0,14726.398316275998,1767167.7979531197
